epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
53,6397.61,1.06565,0.65648,1.10743,0.80642,0.67531,0.70754,0.47745,1.04514,0.7663,1.19796,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919,0.0142176,0.00473919
54,6522.42,1.06923,0.6563,1.10633,0.80223,0.68282,0.7044,0.47865,1.03457,0.75694,1.19035,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416,0.0137525,0.00458416
55,6641.21,1.06047,0.64928,1.10103,0.81605,0.67612,0.70471,0.47736,1.02303,0.74802,1.18201,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296,0.0132888,0.0044296
56,6760.55,1.05249,0.6388,1.10123,0.80909,0.67643,0.70699,0.48332,1.01625,0.74044,1.17816,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565,0.0128269,0.00427565
57,6879.49,1.04863,0.63494,1.09887,0.82151,0.67348,0.71021,0.48437,1.00612,0.73239,1.17122,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246,0.0123674,0.00412246
58,6998.43,1.04285,0.62993,1.09307,0.81431,0.67746,0.7118,0.48685,0.99693,0.72425,1.16532,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019,0.0119106,0.00397019
59,7117.27,1.0314,0.62082,1.08546,0.84937,0.66783,0.71498,0.49194,0.98524,0.71528,1.158,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899,0.011457,0.00381899
60,7236.42,1.02665,0.61574,1.08649,0.84268,0.67678,0.71557,0.49452,0.9776,0.7087,1.15648,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899,0.011007,0.00366899
61,7355.43,1.02591,0.61131,1.0818,0.82271,0.6904,0.71821,0.49823,0.96874,0.69746,1.14896,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037,0.0105611,0.00352037
62,7475.49,1.0203,0.6086,1.07994,0.83711,0.68886,0.72185,0.49975,0.96141,0.68823,1.14281,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325,0.0101197,0.00337325
63,7594.31,1.01913,0.60809,1.0811,0.83935,0.68781,0.72463,0.50414,0.95315,0.67952,1.13796,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778,0.00968335,0.00322778
64,7713.22,1.00737,0.59975,1.07124,0.83877,0.69343,0.72459,0.50319,0.94549,0.67141,1.13345,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
65,7832.09,0.99592,0.58755,1.06465,0.83009,0.6952,0.72236,0.50507,0.9404,0.66255,1.13033,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
66,7950.84,0.99135,0.58298,1.06448,0.82178,0.69846,0.72176,0.50641,0.93175,0.65884,1.12552,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
67,8072.01,0.98365,0.58015,1.06245,0.82743,0.69687,0.72128,0.50669,0.9232,0.65416,1.12082,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
68,8196.22,0.98071,0.57646,1.06151,0.8169,0.69662,0.72244,0.50639,0.91518,0.64836,1.11591,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
69,8315.25,0.9786,0.58,1.06041,0.81722,0.70109,0.72587,0.50736,0.90956,0.64441,1.11247,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
70,8434.41,0.96887,0.57135,1.05258,0.80693,0.70872,0.72803,0.51024,0.90425,0.63951,1.10915,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
71,8553.4,0.96312,0.56539,1.05132,0.84573,0.69816,0.72777,0.51107,0.89884,0.63443,1.10563,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
72,8672.38,0.95965,0.56255,1.04795,0.8513,0.6949,0.72704,0.51201,0.89432,0.62931,1.10256,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
73,8791.59,0.95831,0.56337,1.04838,0.84725,0.69489,0.7268,0.51351,0.89022,0.62575,1.1003,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
74,8910.66,0.9503,0.56003,1.04545,0.85748,0.69493,0.72737,0.51179,0.88602,0.62248,1.09821,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
75,9029.39,0.94409,0.55095,1.04377,0.86316,0.69588,0.72783,0.51421,0.8819,0.61945,1.09625,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
76,9148.5,0.94554,0.54745,1.04037,0.8597,0.69836,0.72778,0.51365,0.87771,0.61673,1.09374,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
77,9268.33,0.93334,0.54651,1.03696,0.86354,0.69905,0.72948,0.51679,0.8734,0.61389,1.0915,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161,0.00432482,0.00144161
78,9389.38,0.9331,0.54375,1.03753,0.86136,0.7001,0.72934,0.51688,0.87059,0.61263,1.08991,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695,0.00401085,0.00133695
79,9508.94,0.93036,0.54257,1.03532,0.85958,0.7007,0.72996,0.51732,0.86612,0.61081,1.08662,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596,0.00370788,0.00123596
80,9628.39,0.92238,0.53855,1.03482,0.86311,0.6993,0.72979,0.5176,0.86431,0.60835,1.08583,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873,0.0034162,0.00113873
81,9747.18,0.91603,0.53025,1.02922,0.85604,0.70032,0.73045,0.5179,0.86181,0.60589,1.08461,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
82,9866.13,0.91281,0.52475,1.02774,0.85537,0.70009,0.72982,0.51772,0.85858,0.60386,1.08284,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951,0.00286785,0.000955951
83,9984.78,0.91047,0.52415,1.02508,0.85381,0.70188,0.72989,0.51813,0.85562,0.60187,1.08117,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577,0.00261173,0.000870577
84,10103.8,0.90839,0.52532,1.0267,0.85438,0.701,0.73101,0.5193,0.85324,0.59955,1.07976,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327,0.00236798,0.000789327
85,10222.8,0.90449,0.52716,1.0251,0.84976,0.70325,0.73103,0.51844,0.85123,0.59818,1.07841,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
86,10344.9,0.79162,0.36135,0.96731,0.85714,0.70489,0.73025,0.51917,0.84879,0.59555,1.07695,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
87,10462.4,0.78084,0.35436,0.96242,0.85955,0.70492,0.72944,0.51931,0.84623,0.5929,1.07515,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
88,10580.1,0.76995,0.34687,0.95681,0.85275,0.70834,0.72833,0.5195,0.84359,0.591,1.07342,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115
89,10697.3,0.76343,0.34552,0.95538,0.85327,0.70839,0.72838,0.51975,0.84106,0.58869,1.07191,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
90,10814.6,0.7625,0.34343,0.95126,0.85591,0.70727,0.72855,0.51998,0.83863,0.58703,1.07032,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264
91,10931.9,0.75573,0.34079,0.94941,0.85486,0.70624,0.72969,0.52136,0.83561,0.58502,1.06842,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
92,11049.3,0.75338,0.3409,0.95045,0.85258,0.70954,0.73173,0.52156,0.83385,0.58312,1.06732,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546
93,11166.6,0.7455,0.33834,0.94674,0.8593,0.70831,0.7316,0.52176,0.83187,0.58103,1.06593,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
94,11283.9,0.74418,0.33572,0.94485,0.86145,0.70718,0.73221,0.52258,0.82953,0.57898,1.06457,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212
95,11401.6,0.74304,0.33526,0.94656,0.86243,0.70735,0.73255,0.52316,0.82808,0.5766,1.06371,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
96,11519.6,0.74243,0.33654,0.94524,0.86452,0.70664,0.73271,0.52362,0.82611,0.57544,1.06237,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
97,11637.4,0.74103,0.33319,0.94402,0.86498,0.70698,0.73278,0.5245,0.82455,0.57355,1.06149,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
98,11754.6,0.73737,0.33137,0.94256,0.86379,0.70791,0.73404,0.52423,0.82281,0.5728,1.06019,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968
99,11871.9,0.73653,0.33127,0.94322,0.86606,0.70707,0.73317,0.5253,0.82113,0.57133,1.05914,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
100,11989.5,0.7345,0.32972,0.94155,0.86868,0.7071,0.73397,0.52563,0.81954,0.56971,1.05811,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443
